date,Vitamin c,Vitamin D,isPartial
2020-09-09,0,0,False
2020-09-10,0,0,False
2020-09-11,0,24,False
2020-09-12,0,0,False
2020-09-13,26,52,False
2020-09-14,0,0,False
2020-09-15,0,0,False
2020-09-16,23,0,False
2020-09-17,0,0,False
2020-09-18,24,0,False
2020-09-19,0,0,False
2020-09-20,0,26,False
2020-09-21,47,0,False
2020-09-22,0,0,False
2020-09-23,0,48,False
2020-09-24,0,0,False
2020-09-25,0,0,False
2020-09-26,0,0,False
2020-09-27,0,0,False
2020-09-28,100,0,False
2020-09-29,25,0,False
2020-09-30,0,0,False
2020-10-01,0,0,False
2020-10-02,56,0,False
2020-10-03,0,0,False
2020-10-04,54,0,False
2020-10-05,24,0,False
2020-10-06,0,0,False
2020-10-07,25,49,False
2020-10-08,25,0,False
2020-10-09,27,0,False
2020-10-10,28,0,False
2020-10-11,83,0,False
2020-10-12,25,0,False
2020-10-13,25,51,False
2020-10-14,49,0,False
2020-10-15,77,0,False
2020-10-16,0,51,False
2020-10-17,54,27,False
2020-10-18,0,0,False
2020-10-19,26,0,False
2020-10-20,26,52,False
2020-10-21,0,0,False
2020-10-22,26,0,False
2020-10-23,0,27,False
2020-10-24,57,0,False
2020-10-25,28,55,False
2020-10-26,51,0,False
2020-10-27,26,0,False
2020-10-28,25,25,False
2020-10-29,25,0,False
2020-10-30,0,26,False
2020-10-31,0,28,False
2020-11-01,0,0,False
2020-11-02,0,0,False
2020-11-03,0,0,False
2020-11-04,23,0,False
2020-11-05,24,0,False
2020-11-06,0,0,False
2020-11-07,27,0,False
2020-11-08,54,27,False
2020-11-09,50,0,False
2020-11-10,50,0,False
2020-11-11,0,0,False
2020-11-12,0,26,False
2020-11-13,26,0,False
2020-11-14,28,0,False
2020-11-15,0,0,False
2020-11-16,51,25,False
2020-11-17,51,0,False
2020-11-18,26,0,False
2020-11-19,26,0,False
2020-11-20,0,26,False
2020-11-21,55,27,False
2020-11-22,0,0,False
2020-11-23,26,0,False
2020-11-24,51,0,False
2020-11-25,77,26,False
2020-11-26,26,26,False
2020-11-27,0,0,False
2020-11-28,0,0,False
2020-11-29,57,28,False
2020-11-30,0,26,False
2020-12-01,0,27,False
2020-12-02,27,53,False
2020-12-03,27,54,False
2020-12-04,0,27,False
2020-12-05,29,0,False
2020-12-06,0,0,False
